i;j;C;gamma;accuracy;time_ms
7.0;8.0;512.0;2.0;0.4735547355473555;4807520.0
9.0;4.0;8192.0;0.0078125;0.6736074503602179;6567606.0
6.0;9.0;128.0;8.0;0.47302758741873135;5039838.0
4.0;0.0;8.0;3.0517578125E-5;0.6542786856439993;3660688.0
10.0;3.0;32768.0;0.001953125;0.6760674749604639;7861528.0
1.0;7.0;0.125;0.5;0.5137058513442277;5240223.0
9.0;5.0;8192.0;0.03125;0.640924266385521;5139604.0
10.0;0.0;32768.0;3.0517578125E-5;0.6945176594623089;7951535.0
4.0;3.0;8.0;0.001953125;0.6742224565102793;3175682.0
1.0;0.0;0.125;3.0517578125E-5;0.6384642417852749;4380275.0
3.0;3.0;2.0;0.001953125;0.6641187840449833;3269439.0
1.0;9.0;0.125;8.0;0.4732911614830434;5077449.0
7.0;6.0;512.0;0.125;0.6214197856264277;4831769.0
3.0;7.0;2.0;0.5;0.5072922157793006;4902043.0
8.0;6.0;2048.0;0.125;0.6232648040766122;4718681.0
0.0;3.0;0.03125;0.001953125;0.6408364083640836;4021626.0
0.0;7.0;0.03125;0.5;0.5153751537515375;5107266.0
10.0;1.0;32768.0;1.220703125E-4;0.6773853452820242;1.1036042E7
0.0;0.0;0.03125;3.0517578125E-5;0.6376735195923388;4114837.0
5.0;5.0;32.0;0.03125;0.6447021613073274;4937500.0
0.0;1.0;0.03125;1.220703125E-4;0.6367070813565279;4109680.0
1.0;3.0;0.125;0.001953125;0.6496222105078193;3484861.0
10.0;8.0;32768.0;2.0;0.4737304515902302;4754028.0
3.0;0.0;2.0;3.0517578125E-5;0.645844315586013;3819229.0
10.0;6.0;32768.0;0.125;0.6206290634334914;4689283.0
10.0;4.0;32768.0;0.0078125;0.6688631172026006;6515233.0
10.0;2.0;32768.0;4.8828125E-4;0.6706202776313478;8991703.0
5.0;0.0;32.0;3.0517578125E-5;0.6601651730803022;3368199.0
8.0;1.0;2048.0;1.220703125E-4;0.7028641714988578;4188615.0
7.0;1.0;512.0;1.220703125E-4;0.6931119311193112;3392202.0
4.0;2.0;8.0;4.8828125E-4;0.6639430680021086;3145723.0
6.0;1.0;128.0;1.220703125E-4;0.6766824811105254;3032198.0
10.0;5.0;32768.0;0.03125;0.6309963099630996;4865940.0
4.0;4.0;8.0;0.0078125;0.6758039008961518;3243159.0
1.0;2.0;0.125;4.8828125E-4;0.6447021613073274;3771064.0
4.0;5.0;8.0;0.03125;0.6512915129151291;4547625.0
3.0;4.0;2.0;0.0078125;0.6677209629239149;3101487.0
3.0;2.0;2.0;4.8828125E-4;0.6591108768230539;3225413.0
4.0;7.0;8.0;0.5;0.5077315058864874;4705911.0
2.0;8.0;0.5;2.0;0.47381830961166754;5325898.0
10.0;7.0;32768.0;0.5;0.5043929010718678;4817516.0
6.0;0.0;128.0;3.0517578125E-5;0.6657880864522931;3305847.0
6.0;3.0;128.0;0.001953125;0.7014584431558601;4069167.0
6.0;7.0;128.0;0.5;0.5057107713934282;4858662.0
4.0;1.0;8.0;1.220703125E-4;0.6606923212089264;3467371.0
3.0;9.0;2.0;8.0;0.4728518713758566;4969598.0
8.0;7.0;2048.0;0.5;0.5057107713934282;4765112.0
0.0;6.0;0.03125;0.125;0.6250219645053593;5055316.0
3.0;5.0;2.0;0.03125;0.6632402038306098;3814455.0
0.0;4.0;0.03125;0.0078125;0.6436478650500791;3897761.0
6.0;4.0;128.0;0.0078125;0.6736074503602179;6393212.0
0.0;9.0;0.03125;8.0;0.47276401335441925;4878749.0
8.0;5.0;2048.0;0.03125;0.6403971182568968;5029892.0
2.0;4.0;0.5;0.0078125;0.6570901423299947;3242772.0
2.0;0.0;0.5;3.0517578125E-5;0.6385520998067123;4126975.0
7.0;3.0;512.0;0.001953125;0.6945176594623089;5851350.0
3.0;6.0;2.0;0.125;0.6276577051484801;4516924.0
5.0;3.0;32.0;0.001953125;0.6885433140045686;3295702.0
8.0;4.0;2048.0;0.0078125;0.6708838516956598;5334967.0
5.0;1.0;32.0;1.220703125E-4;0.664030926023546;3043376.0
7.0;0.0;512.0;3.0517578125E-5;0.6757160428747144;2819927.0
7.0;7.0;512.0;0.5;0.5067650676506765;3653637.0
9.0;2.0;8192.0;4.8828125E-4;0.6737831664030925;5329028.0

