2015-02-26 23:04:18,110 222947   1424991858	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2378
2015-02-26 23:04:20,239 225076   1424991860	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2395
2015-02-26 23:04:28,110 232947   1424991868	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2387
2015-02-26 23:04:30,253 235090   1424991870	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2395
2015-02-26 23:04:38,110 242947   1424991878	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2380
2015-02-26 23:04:40,253 245090   1424991880	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2446
2015-02-26 23:04:48,238 253075   1424991888	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2466
2015-02-26 23:04:50,330 255167   1424991890	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2448
2015-02-26 23:04:58,289 263126   1424991898	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2417
2015-02-26 23:05:00,482 265319   1424991900	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2424
2015-02-26 23:05:08,110 272947   1424991908	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2381
2015-02-26 23:05:10,705 275542   1424991910	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2396
2015-02-26 23:05:18,304 283141   1424991918	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2349
2015-02-26 23:05:20,843 285680   1424991920	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2403
2015-02-26 23:05:28,304 293141   1424991928	ip-10-193-16-139.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	2400
2015-02-26 23:05:30,999 295836   1424991930	ip-10-194-135-199.eu-west-1.compute.internal:6700	 11:support-vector-maschine-bolt	tuple_count            	2476
