2015-03-03 22:26:48,978 13106    1425421609	ip-10-100-132-104.eu-west-1.compute.internal:6700	 36:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:48,986 13114    1425421609	ip-10-100-132-104.eu-west-1.compute.internal:6700	 33:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:48,986 13114    1425421609	ip-10-100-132-104.eu-west-1.compute.internal:6700	 39:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:49,072 13200    1425421609	ip-10-14-66-119.eu-west-1.compute.internal:6700	 40:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:49,072 13200    1425421609	ip-10-14-66-119.eu-west-1.compute.internal:6700	 34:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:49,086 13214    1425421609	ip-10-14-66-119.eu-west-1.compute.internal:6700	 37:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:49,139 13267    1425421609	ip-10-12-134-45.eu-west-1.compute.internal:6700	 38:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:49,140 13268    1425421609	ip-10-12-134-45.eu-west-1.compute.internal:6700	 35:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:49,145 13273    1425421609	ip-10-12-134-45.eu-west-1.compute.internal:6700	 32:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:26:58,994 23122    1425421619	ip-10-100-132-104.eu-west-1.compute.internal:6700	 36:support-vector-maschine-bolt	tuple_count            	2
2015-03-03 22:26:58,996 23124    1425421619	ip-10-100-132-104.eu-west-1.compute.internal:6700	 39:support-vector-maschine-bolt	tuple_count            	3
2015-03-03 22:26:59,009 23137    1425421619	ip-10-100-132-104.eu-west-1.compute.internal:6700	 33:support-vector-maschine-bolt	tuple_count            	4
2015-03-03 22:26:59,071 23199    1425421619	ip-10-14-66-119.eu-west-1.compute.internal:6700	 40:support-vector-maschine-bolt	tuple_count            	23
2015-03-03 22:26:59,073 23201    1425421619	ip-10-14-66-119.eu-west-1.compute.internal:6700	 34:support-vector-maschine-bolt	tuple_count            	24
2015-03-03 22:26:59,088 23216    1425421619	ip-10-14-66-119.eu-west-1.compute.internal:6700	 37:support-vector-maschine-bolt	tuple_count            	27
2015-03-03 22:26:59,128 23256    1425421619	ip-10-12-134-45.eu-west-1.compute.internal:6700	 38:support-vector-maschine-bolt	tuple_count            	40
2015-03-03 22:26:59,140 23268    1425421619	ip-10-12-134-45.eu-west-1.compute.internal:6700	 35:support-vector-maschine-bolt	tuple_count            	44
2015-03-03 22:26:59,148 23276    1425421619	ip-10-12-134-45.eu-west-1.compute.internal:6700	 32:support-vector-maschine-bolt	tuple_count            	45
2015-03-03 22:27:09,003 33131    1425421629	ip-10-100-132-104.eu-west-1.compute.internal:6700	 33:support-vector-maschine-bolt	tuple_count            	8083
2015-03-03 22:27:09,021 33149    1425421629	ip-10-100-132-104.eu-west-1.compute.internal:6700	 39:support-vector-maschine-bolt	tuple_count            	8085
2015-03-03 22:27:09,071 33199    1425421629	ip-10-100-132-104.eu-west-1.compute.internal:6700	 36:support-vector-maschine-bolt	tuple_count            	8054
2015-03-03 22:27:09,078 33206    1425421629	ip-10-14-66-119.eu-west-1.compute.internal:6700	 34:support-vector-maschine-bolt	tuple_count            	8142
