2015-03-03 23:07:03,510 12464    1425424023	ip-10-100-132-104.eu-west-1.compute.internal:6700	 93:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:03,510 12464    1425424023	ip-10-100-132-104.eu-west-1.compute.internal:6700	102:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:03,511 12465    1425424023	ip-10-100-132-104.eu-west-1.compute.internal:6700	111:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:03,565 12519    1425424023	ip-10-86-134-59.eu-west-1.compute.internal:6700	 96:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:03,565 12519    1425424023	ip-10-86-134-59.eu-west-1.compute.internal:6700	105:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:03,565 12519    1425424023	ip-10-86-134-59.eu-west-1.compute.internal:6700	114:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:03,569 12523    1425424023	ip-10-86-5-21.eu-west-1.compute.internal:6700	113:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:03,569 12523    1425424023	ip-10-86-5-21.eu-west-1.compute.internal:6700	 95:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:03,570 12524    1425424023	ip-10-86-5-21.eu-west-1.compute.internal:6700	104:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,146 13100    1425424024	ip-10-14-9-243.eu-west-1.compute.internal:6700	112:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,156 13110    1425424024	ip-10-12-134-45.eu-west-1.compute.internal:6700	110:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,156 13110    1425424024	ip-10-12-134-45.eu-west-1.compute.internal:6700	 92:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,161 13115    1425424024	ip-10-8-131-168.eu-west-1.compute.internal:6700	106:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,167 13121    1425424024	ip-10-14-9-243.eu-west-1.compute.internal:6700	103:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,167 13121    1425424024	ip-10-14-9-243.eu-west-1.compute.internal:6700	 94:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,177 13131    1425424024	ip-10-12-134-45.eu-west-1.compute.internal:6700	101:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,225 13179    1425424024	ip-10-8-131-168.eu-west-1.compute.internal:6700	 97:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,225 13179    1425424024	ip-10-8-131-168.eu-west-1.compute.internal:6700	115:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,419 13373    1425424024	ip-10-8-133-98.eu-west-1.compute.internal:6700	107:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,420 13374    1425424024	ip-10-8-133-98.eu-west-1.compute.internal:6700	116:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,420 13374    1425424024	ip-10-8-133-98.eu-west-1.compute.internal:6700	 98:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,695 13649    1425424024	ip-10-14-10-94.eu-west-1.compute.internal:6700	108:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,696 13650    1425424024	ip-10-14-10-94.eu-west-1.compute.internal:6700	117:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:04,696 13650    1425424024	ip-10-14-10-94.eu-west-1.compute.internal:6700	 99:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:07:13,523 22477    1425424033	ip-10-100-132-104.eu-west-1.compute.internal:6700	102:support-vector-maschine-bolt	tuple_count            	1
2015-03-03 23:07:13,541 22495    1425424033	ip-10-100-132-104.eu-west-1.compute.internal:6700	 93:support-vector-maschine-bolt	tuple_count            	5
2015-03-03 23:07:13,541 22495    1425424033	ip-10-100-132-104.eu-west-1.compute.internal:6700	111:support-vector-maschine-bolt	tuple_count            	4
2015-03-03 23:07:13,553 22507    1425424033	ip-10-86-134-59.eu-west-1.compute.internal:6700	 96:support-vector-maschine-bolt	tuple_count            	14
2015-03-03 23:07:13,560 22514    1425424033	ip-10-86-134-59.eu-west-1.compute.internal:6700	114:support-vector-maschine-bolt	tuple_count            	18
2015-03-03 23:07:13,560 22514    1425424033	ip-10-86-134-59.eu-west-1.compute.internal:6700	105:support-vector-maschine-bolt	tuple_count            	17
