2015-03-03 23:00:11,444 12612    1425423611	ip-10-100-132-104.eu-west-1.compute.internal:6700	 99:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:11,446 12614    1425423611	ip-10-86-134-59.eu-west-1.compute.internal:6700	 94:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:11,447 12615    1425423611	ip-10-86-134-59.eu-west-1.compute.internal:6700	 86:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:11,447 12615    1425423611	ip-10-86-134-59.eu-west-1.compute.internal:6700	102:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:11,457 12625    1425423611	ip-10-86-5-21.eu-west-1.compute.internal:6700	101:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:11,457 12625    1425423611	ip-10-86-5-21.eu-west-1.compute.internal:6700	 85:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:11,458 12626    1425423611	ip-10-86-5-21.eu-west-1.compute.internal:6700	 93:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:11,492 12660    1425423611	ip-10-100-132-104.eu-west-1.compute.internal:6700	 91:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:11,508 12676    1425423611	ip-10-100-132-104.eu-west-1.compute.internal:6700	 83:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:12,163 13331    1425423612	ip-10-8-131-168.eu-west-1.compute.internal:6700	 95:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:12,258 13426    1425423612	ip-10-8-131-168.eu-west-1.compute.internal:6700	103:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:12,259 13427    1425423612	ip-10-8-131-168.eu-west-1.compute.internal:6700	 87:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 23:00:21,427 22595    1425423621	ip-10-100-132-104.eu-west-1.compute.internal:6700	 99:support-vector-maschine-bolt	tuple_count            	4
2015-03-03 23:00:21,520 22688    1425423621	ip-10-86-5-21.eu-west-1.compute.internal:6700	101:support-vector-maschine-bolt	tuple_count            	12
2015-03-03 23:00:21,520 22688    1425423621	ip-10-86-134-59.eu-west-1.compute.internal:6700	102:support-vector-maschine-bolt	tuple_count            	8
2015-03-03 23:00:21,520 22688    1425423621	ip-10-86-134-59.eu-west-1.compute.internal:6700	 86:support-vector-maschine-bolt	tuple_count            	9
