2015-03-03 22:19:19,282 13100    1425421159	ip-10-14-66-119.eu-west-1.compute.internal:6700	 23:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:19:19,283 13101    1425421159	ip-10-14-66-119.eu-west-1.compute.internal:6700	 25:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:19:19,286 13104    1425421159	ip-10-14-66-119.eu-west-1.compute.internal:6700	 27:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:19:19,426 13244    1425421159	ip-10-12-134-45.eu-west-1.compute.internal:6700	 24:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:19:19,426 13244    1425421159	ip-10-12-134-45.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:19:19,427 13245    1425421159	ip-10-12-134-45.eu-west-1.compute.internal:6700	 26:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:19:29,413 23231    1425421169	ip-10-12-134-45.eu-west-1.compute.internal:6700	 24:support-vector-maschine-bolt	tuple_count            	23
2015-03-03 22:19:29,416 23234    1425421169	ip-10-12-134-45.eu-west-1.compute.internal:6700	 26:support-vector-maschine-bolt	tuple_count            	25
2015-03-03 22:19:29,418 23236    1425421169	ip-10-12-134-45.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	25
2015-03-03 22:19:29,429 23247    1425421169	ip-10-14-66-119.eu-west-1.compute.internal:6700	 23:support-vector-maschine-bolt	tuple_count            	4
2015-03-03 22:19:29,431 23249    1425421169	ip-10-14-66-119.eu-west-1.compute.internal:6700	 25:support-vector-maschine-bolt	tuple_count            	5
2015-03-03 22:19:29,434 23252    1425421169	ip-10-14-66-119.eu-west-1.compute.internal:6700	 27:support-vector-maschine-bolt	tuple_count            	5
2015-03-03 22:19:39,335 33153    1425421179	ip-10-14-66-119.eu-west-1.compute.internal:6700	 23:support-vector-maschine-bolt	tuple_count            	8018
2015-03-03 22:19:39,336 33154    1425421179	ip-10-14-66-119.eu-west-1.compute.internal:6700	 27:support-vector-maschine-bolt	tuple_count            	8018
2015-03-03 22:19:39,343 33161    1425421179	ip-10-14-66-119.eu-west-1.compute.internal:6700	 25:support-vector-maschine-bolt	tuple_count            	8016
2015-03-03 22:19:39,465 33283    1425421179	ip-10-12-134-45.eu-west-1.compute.internal:6700	 24:support-vector-maschine-bolt	tuple_count            	8068
2015-03-03 22:19:39,475 33293    1425421179	ip-10-12-134-45.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	8073
2015-03-03 22:19:39,492 33310    1425421179	ip-10-12-134-45.eu-west-1.compute.internal:6700	 26:support-vector-maschine-bolt	tuple_count            	8073
2015-03-03 22:19:49,338 43156    1425421189	ip-10-14-66-119.eu-west-1.compute.internal:6700	 23:support-vector-maschine-bolt	tuple_count            	9727
2015-03-03 22:19:49,344 43162    1425421189	ip-10-14-66-119.eu-west-1.compute.internal:6700	 27:support-vector-maschine-bolt	tuple_count            	9726
2015-03-03 22:19:49,352 43170    1425421189	ip-10-14-66-119.eu-west-1.compute.internal:6700	 25:support-vector-maschine-bolt	tuple_count            	9728
2015-03-03 22:19:49,428 43246    1425421189	ip-10-12-134-45.eu-west-1.compute.internal:6700	 26:support-vector-maschine-bolt	tuple_count            	9735
2015-03-03 22:19:49,444 43262    1425421189	ip-10-12-134-45.eu-west-1.compute.internal:6700	 24:support-vector-maschine-bolt	tuple_count            	9732
2015-03-03 22:19:49,560 43378    1425421189	ip-10-12-134-45.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	9734
2015-03-03 22:19:59,335 53153    1425421199	ip-10-14-66-119.eu-west-1.compute.internal:6700	 27:support-vector-maschine-bolt	tuple_count            	9736
2015-03-03 22:19:59,336 53154    1425421199	ip-10-14-66-119.eu-west-1.compute.internal:6700	 23:support-vector-maschine-bolt	tuple_count            	9737
2015-03-03 22:19:59,337 53155    1425421199	ip-10-14-66-119.eu-west-1.compute.internal:6700	 25:support-vector-maschine-bolt	tuple_count            	9736
2015-03-03 22:19:59,425 53243    1425421199	ip-10-12-134-45.eu-west-1.compute.internal:6700	 24:support-vector-maschine-bolt	tuple_count            	9733
2015-03-03 22:19:59,449 53267    1425421199	ip-10-12-134-45.eu-west-1.compute.internal:6700	 26:support-vector-maschine-bolt	tuple_count            	9733
2015-03-03 22:19:59,583 53401    1425421199	ip-10-12-134-45.eu-west-1.compute.internal:6700	 22:support-vector-maschine-bolt	tuple_count            	9733
