2015-03-03 22:12:02,722 13151    1425420722	ip-10-86-134-59.eu-west-1.compute.internal:6700	 13:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:12:02,723 13152    1425420722	ip-10-86-134-59.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:12:02,725 13154    1425420722	ip-10-86-134-59.eu-west-1.compute.internal:6700	 14:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:12:12,735 23164    1425420732	ip-10-86-134-59.eu-west-1.compute.internal:6700	 13:support-vector-maschine-bolt	tuple_count            	12
2015-03-03 22:12:12,741 23170    1425420732	ip-10-86-134-59.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	13
2015-03-03 22:12:12,755 23184    1425420732	ip-10-86-134-59.eu-west-1.compute.internal:6700	 14:support-vector-maschine-bolt	tuple_count            	14
2015-03-03 22:12:22,746 33175    1425420742	ip-10-86-134-59.eu-west-1.compute.internal:6700	 13:support-vector-maschine-bolt	tuple_count            	9109
2015-03-03 22:12:22,764 33193    1425420742	ip-10-86-134-59.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	9112
2015-03-03 22:12:22,764 33193    1425420742	ip-10-86-134-59.eu-west-1.compute.internal:6700	 14:support-vector-maschine-bolt	tuple_count            	9107
2015-03-03 22:12:32,742 43171    1425420752	ip-10-86-134-59.eu-west-1.compute.internal:6700	 13:support-vector-maschine-bolt	tuple_count            	10271
2015-03-03 22:12:32,760 43189    1425420752	ip-10-86-134-59.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	10269
2015-03-03 22:12:32,769 43198    1425420752	ip-10-86-134-59.eu-west-1.compute.internal:6700	 14:support-vector-maschine-bolt	tuple_count            	10271
2015-03-03 22:12:42,733 53162    1425420762	ip-10-86-134-59.eu-west-1.compute.internal:6700	 12:support-vector-maschine-bolt	tuple_count            	10364
2015-03-03 22:12:42,747 53176    1425420762	ip-10-86-134-59.eu-west-1.compute.internal:6700	 14:support-vector-maschine-bolt	tuple_count            	10364
2015-03-03 22:12:42,763 53192    1425420762	ip-10-86-134-59.eu-west-1.compute.internal:6700	 13:support-vector-maschine-bolt	tuple_count            	10365
2015-03-03 22:12:52,222 62651    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__ack-count            	{dataset-spout:default=119040}
2015-03-03 22:12:52,222 62651    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__sendqueue            	{write_pos=238093, read_pos=238093, capacity=1024, population=0}
2015-03-03 22:12:52,222 62651    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__receive              	{write_pos=55671, read_pos=55670, capacity=1024, population=1}
2015-03-03 22:12:52,222 62651    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__process-latency      	{dataset-spout:default=0.19018817204301075}
2015-03-03 22:12:52,222 62651    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__transfer-count       	{__ack_ack=119160, default=118940}
2015-03-03 22:12:52,223 62652    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__execute-latency      	{dataset-spout:default=0.18615591397849462}
2015-03-03 22:12:52,223 62652    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__fail-count           	{}
2015-03-03 22:12:52,223 62652    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__emit-count           	{__ack_ack=119160, default=118940}
2015-03-03 22:12:52,223 62652    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 15:tokenizer-bolt	__execute-count        	{dataset-spout:default=119040}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__ack-count            	{}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	memory/heap            	{unusedBytes=1455575792, usedBytes=1772465424, maxBytes=3817865216, initBytes=989385216, virtualFreeBytes=2045399792, committedBytes=3228041216}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__receive              	{write_pos=1, read_pos=0, capacity=1024, population=1}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__fail-count           	{}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__execute-latency      	{}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	newWorkerEvent         	1
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__emit-count           	{}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__execute-count        	{}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__sendqueue            	{write_pos=-1, read_pos=-1, capacity=1024, population=0}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	memory/nonHeap         	{unusedBytes=36236784, usedBytes=37032464, maxBytes=224395264, initBytes=24576000, virtualFreeBytes=187362800, committedBytes=73269248}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	uptimeSecs             	63.848
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__transfer             	{write_pos=821562, read_pos=821562, capacity=1024, population=0}
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	startTimeSecs          	1.425420708386E9
2015-03-03 22:12:52,235 62664    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__process-latency      	{}
2015-03-03 22:12:52,236 62665    1425420772	ip-10-86-134-59.eu-west-1.compute.internal:6700	 -1:__system   	__transfer-count       	{}
