2015-03-03 22:39:54,231 13090    1425422394	ip-10-86-5-21.eu-west-1.compute.internal:6700	 55:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,242 13101    1425422394	ip-10-86-5-21.eu-west-1.compute.internal:6700	 65:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,377 13236    1425422394	ip-10-14-66-119.eu-west-1.compute.internal:6700	 61:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,380 13239    1425422394	ip-10-12-134-45.eu-west-1.compute.internal:6700	 62:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,381 13240    1425422394	ip-10-12-134-45.eu-west-1.compute.internal:6700	 52:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,381 13240    1425422394	ip-10-12-134-45.eu-west-1.compute.internal:6700	 57:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,429 13288    1425422394	ip-10-14-66-119.eu-west-1.compute.internal:6700	 56:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,429 13288    1425422394	ip-10-14-9-243.eu-west-1.compute.internal:6700	 64:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,429 13288    1425422394	ip-10-14-66-119.eu-west-1.compute.internal:6700	 66:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,429 13288    1425422394	ip-10-14-9-243.eu-west-1.compute.internal:6700	 54:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,436 13295    1425422394	ip-10-86-5-21.eu-west-1.compute.internal:6700	 60:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:39:54,443 13302    1425422394	ip-10-14-9-243.eu-west-1.compute.internal:6700	 59:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:40:04,235 23094    1425422404	ip-10-86-5-21.eu-west-1.compute.internal:6700	 55:support-vector-maschine-bolt	tuple_count            	121
2015-03-03 22:40:04,268 23127    1425422404	ip-10-86-5-21.eu-west-1.compute.internal:6700	 65:support-vector-maschine-bolt	tuple_count            	135
2015-03-03 22:40:04,396 23255    1425422404	ip-10-12-134-45.eu-west-1.compute.internal:6700	 52:support-vector-maschine-bolt	tuple_count            	191
2015-03-03 22:40:04,397 23256    1425422404	ip-10-12-134-45.eu-west-1.compute.internal:6700	 57:support-vector-maschine-bolt	tuple_count            	191
2015-03-03 22:40:04,399 23258    1425422404	ip-10-12-134-45.eu-west-1.compute.internal:6700	 62:support-vector-maschine-bolt	tuple_count            	192
2015-03-03 22:40:04,403 23262    1425422404	ip-10-14-66-119.eu-west-1.compute.internal:6700	 61:support-vector-maschine-bolt	tuple_count            	195
