2015-03-03 22:46:20,697 12791    1425422780	ip-10-86-134-59.eu-west-1.compute.internal:6700	 72:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:20,698 12792    1425422780	ip-10-86-134-59.eu-west-1.compute.internal:6700	 66:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:20,713 12807    1425422780	ip-10-86-134-59.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:20,721 12815    1425422780	ip-10-86-5-21.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:20,728 12822    1425422780	ip-10-86-5-21.eu-west-1.compute.internal:6700	 65:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:20,728 12822    1425422780	ip-10-86-5-21.eu-west-1.compute.internal:6700	 71:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:20,857 12951    1425422780	ip-10-100-132-104.eu-west-1.compute.internal:6700	 63:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:20,857 12951    1425422780	ip-10-100-132-104.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:20,858 12952    1425422780	ip-10-100-132-104.eu-west-1.compute.internal:6700	 69:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:21,125 13219    1425422781	ip-10-14-9-243.eu-west-1.compute.internal:6700	 64:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:21,125 13219    1425422781	ip-10-14-9-243.eu-west-1.compute.internal:6700	 70:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:21,280 13374    1425422781	ip-10-14-9-243.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:21,362 13456    1425422781	ip-10-12-134-45.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:21,490 13584    1425422781	ip-10-12-134-45.eu-west-1.compute.internal:6700	 68:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:21,490 13584    1425422781	ip-10-12-134-45.eu-west-1.compute.internal:6700	 62:support-vector-maschine-bolt	tuple_count            	0
2015-03-03 22:46:30,694 22788    1425422790	ip-10-86-134-59.eu-west-1.compute.internal:6700	 72:support-vector-maschine-bolt	tuple_count            	5
2015-03-03 22:46:30,726 22820    1425422790	ip-10-86-134-59.eu-west-1.compute.internal:6700	 66:support-vector-maschine-bolt	tuple_count            	7
2015-03-03 22:46:30,735 22829    1425422790	ip-10-86-5-21.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	12
2015-03-03 22:46:30,746 22840    1425422790	ip-10-86-134-59.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	10
2015-03-03 22:46:30,753 22847    1425422790	ip-10-86-5-21.eu-west-1.compute.internal:6700	 71:support-vector-maschine-bolt	tuple_count            	15
2015-03-03 22:46:30,757 22851    1425422790	ip-10-86-5-21.eu-west-1.compute.internal:6700	 65:support-vector-maschine-bolt	tuple_count            	14
2015-03-03 22:46:30,845 22939    1425422790	ip-10-100-132-104.eu-west-1.compute.internal:6700	 63:support-vector-maschine-bolt	tuple_count            	47
2015-03-03 22:46:30,848 22942    1425422790	ip-10-100-132-104.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	47
2015-03-03 22:46:30,849 22943    1425422790	ip-10-100-132-104.eu-west-1.compute.internal:6700	 69:support-vector-maschine-bolt	tuple_count            	48
2015-03-03 22:46:31,138 23232    1425422791	ip-10-14-9-243.eu-west-1.compute.internal:6700	 64:support-vector-maschine-bolt	tuple_count            	142
2015-03-03 22:46:31,145 23239    1425422791	ip-10-14-9-243.eu-west-1.compute.internal:6700	 70:support-vector-maschine-bolt	tuple_count            	143
2015-03-03 22:46:31,324 23418    1425422791	ip-10-14-9-243.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	223
2015-03-03 22:46:31,461 23555    1425422791	ip-10-12-134-45.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	251
2015-03-03 22:46:31,607 23701    1425422791	ip-10-12-134-45.eu-west-1.compute.internal:6700	 62:support-vector-maschine-bolt	tuple_count            	312
2015-03-03 22:46:31,643 23737    1425422791	ip-10-12-134-45.eu-west-1.compute.internal:6700	 68:support-vector-maschine-bolt	tuple_count            	313
2015-03-03 22:46:40,598 32692    1425422800	ip-10-14-66-119.eu-west-1.compute.internal:6700	 67:support-vector-maschine-bolt	tuple_count            	7567
2015-03-03 22:46:40,599 32693    1425422800	ip-10-14-66-119.eu-west-1.compute.internal:6700	 73:support-vector-maschine-bolt	tuple_count            	7567
2015-03-03 22:46:40,614 32708    1425422800	ip-10-14-66-119.eu-west-1.compute.internal:6700	 79:support-vector-maschine-bolt	tuple_count            	7566
2015-03-03 22:46:40,682 32776    1425422800	ip-10-86-134-59.eu-west-1.compute.internal:6700	 72:support-vector-maschine-bolt	tuple_count            	7714
2015-03-03 22:46:40,744 32838    1425422800	ip-10-86-134-59.eu-west-1.compute.internal:6700	 66:support-vector-maschine-bolt	tuple_count            	7755
2015-03-03 22:46:40,745 32839    1425422800	ip-10-86-134-59.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	7754
2015-03-03 22:46:40,747 32841    1425422800	ip-10-86-5-21.eu-west-1.compute.internal:6700	 71:support-vector-maschine-bolt	tuple_count            	7756
2015-03-03 22:46:40,786 32880    1425422800	ip-10-86-5-21.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	7739
2015-03-03 22:46:40,832 32926    1425422800	ip-10-86-5-21.eu-west-1.compute.internal:6700	 65:support-vector-maschine-bolt	tuple_count            	7760
2015-03-03 22:46:40,855 32949    1425422800	ip-10-100-132-104.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	7828
2015-03-03 22:46:40,863 32957    1425422800	ip-10-100-132-104.eu-west-1.compute.internal:6700	 63:support-vector-maschine-bolt	tuple_count            	7833
2015-03-03 22:46:40,871 32965    1425422800	ip-10-100-132-104.eu-west-1.compute.internal:6700	 69:support-vector-maschine-bolt	tuple_count            	7832
2015-03-03 22:46:41,115 33209    1425422801	ip-10-14-9-243.eu-west-1.compute.internal:6700	 64:support-vector-maschine-bolt	tuple_count            	7980
2015-03-03 22:46:41,127 33221    1425422801	ip-10-14-9-243.eu-west-1.compute.internal:6700	 70:support-vector-maschine-bolt	tuple_count            	7993
2015-03-03 22:46:41,283 33377    1425422801	ip-10-14-9-243.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	8057
2015-03-03 22:46:41,358 33452    1425422801	ip-10-12-134-45.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	8094
2015-03-03 22:46:41,493 33587    1425422801	ip-10-12-134-45.eu-west-1.compute.internal:6700	 68:support-vector-maschine-bolt	tuple_count            	8158
2015-03-03 22:46:41,498 33592    1425422801	ip-10-12-134-45.eu-west-1.compute.internal:6700	 62:support-vector-maschine-bolt	tuple_count            	8161
2015-03-03 22:46:50,610 42704    1425422810	ip-10-14-66-119.eu-west-1.compute.internal:6700	 73:support-vector-maschine-bolt	tuple_count            	9262
2015-03-03 22:46:50,674 42768    1425422810	ip-10-14-66-119.eu-west-1.compute.internal:6700	 67:support-vector-maschine-bolt	tuple_count            	9266
2015-03-03 22:46:50,684 42778    1425422810	ip-10-86-134-59.eu-west-1.compute.internal:6700	 72:support-vector-maschine-bolt	tuple_count            	9255
2015-03-03 22:46:50,724 42818    1425422810	ip-10-86-134-59.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	9255
2015-03-03 22:46:50,729 42823    1425422810	ip-10-86-134-59.eu-west-1.compute.internal:6700	 66:support-vector-maschine-bolt	tuple_count            	9259
2015-03-03 22:46:50,738 42832    1425422810	ip-10-14-66-119.eu-west-1.compute.internal:6700	 79:support-vector-maschine-bolt	tuple_count            	9266
2015-03-03 22:46:50,738 42832    1425422810	ip-10-86-5-21.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	9261
2015-03-03 22:46:50,744 42838    1425422810	ip-10-86-5-21.eu-west-1.compute.internal:6700	 71:support-vector-maschine-bolt	tuple_count            	9246
2015-03-03 22:46:50,747 42841    1425422810	ip-10-86-5-21.eu-west-1.compute.internal:6700	 65:support-vector-maschine-bolt	tuple_count            	9246
2015-03-03 22:46:50,857 42951    1425422810	ip-10-100-132-104.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	9262
2015-03-03 22:46:50,857 42951    1425422810	ip-10-100-132-104.eu-west-1.compute.internal:6700	 63:support-vector-maschine-bolt	tuple_count            	9257
2015-03-03 22:46:50,866 42960    1425422810	ip-10-100-132-104.eu-west-1.compute.internal:6700	 69:support-vector-maschine-bolt	tuple_count            	9257
2015-03-03 22:46:51,118 43212    1425422811	ip-10-14-9-243.eu-west-1.compute.internal:6700	 64:support-vector-maschine-bolt	tuple_count            	9255
2015-03-03 22:46:51,133 43227    1425422811	ip-10-14-9-243.eu-west-1.compute.internal:6700	 70:support-vector-maschine-bolt	tuple_count            	9254
2015-03-03 22:46:51,288 43382    1425422811	ip-10-14-9-243.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	9255
2015-03-03 22:46:51,354 43448    1425422811	ip-10-12-134-45.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	9256
2015-03-03 22:46:51,496 43590    1425422811	ip-10-12-134-45.eu-west-1.compute.internal:6700	 68:support-vector-maschine-bolt	tuple_count            	9259
2015-03-03 22:46:51,499 43593    1425422811	ip-10-12-134-45.eu-west-1.compute.internal:6700	 62:support-vector-maschine-bolt	tuple_count            	9259
2015-03-03 22:47:00,603 52697    1425422820	ip-10-14-66-119.eu-west-1.compute.internal:6700	 67:support-vector-maschine-bolt	tuple_count            	9278
2015-03-03 22:47:00,607 52701    1425422820	ip-10-14-66-119.eu-west-1.compute.internal:6700	 73:support-vector-maschine-bolt	tuple_count            	9285
2015-03-03 22:47:00,682 52776    1425422820	ip-10-86-134-59.eu-west-1.compute.internal:6700	 72:support-vector-maschine-bolt	tuple_count            	9300
2015-03-03 22:47:00,717 52811    1425422820	ip-10-86-5-21.eu-west-1.compute.internal:6700	 77:support-vector-maschine-bolt	tuple_count            	9288
2015-03-03 22:47:00,726 52820    1425422820	ip-10-86-134-59.eu-west-1.compute.internal:6700	 66:support-vector-maschine-bolt	tuple_count            	9292
2015-03-03 22:47:00,731 52825    1425422820	ip-10-86-134-59.eu-west-1.compute.internal:6700	 78:support-vector-maschine-bolt	tuple_count            	9296
2015-03-03 22:47:00,760 52854    1425422820	ip-10-86-5-21.eu-west-1.compute.internal:6700	 65:support-vector-maschine-bolt	tuple_count            	9294
2015-03-03 22:47:00,766 52860    1425422820	ip-10-86-5-21.eu-west-1.compute.internal:6700	 71:support-vector-maschine-bolt	tuple_count            	9297
2015-03-03 22:47:00,773 52867    1425422820	ip-10-14-66-119.eu-west-1.compute.internal:6700	 79:support-vector-maschine-bolt	tuple_count            	9281
2015-03-03 22:47:00,852 52946    1425422820	ip-10-100-132-104.eu-west-1.compute.internal:6700	 69:support-vector-maschine-bolt	tuple_count            	9290
2015-03-03 22:47:00,852 52946    1425422820	ip-10-100-132-104.eu-west-1.compute.internal:6700	 63:support-vector-maschine-bolt	tuple_count            	9286
2015-03-03 22:47:00,871 52965    1425422820	ip-10-100-132-104.eu-west-1.compute.internal:6700	 75:support-vector-maschine-bolt	tuple_count            	9290
2015-03-03 22:47:01,119 53213    1425422821	ip-10-14-9-243.eu-west-1.compute.internal:6700	 64:support-vector-maschine-bolt	tuple_count            	9295
2015-03-03 22:47:01,130 53224    1425422821	ip-10-14-9-243.eu-west-1.compute.internal:6700	 70:support-vector-maschine-bolt	tuple_count            	9295
2015-03-03 22:47:01,288 53382    1425422821	ip-10-14-9-243.eu-west-1.compute.internal:6700	 76:support-vector-maschine-bolt	tuple_count            	9299
2015-03-03 22:47:01,354 53448    1425422821	ip-10-12-134-45.eu-west-1.compute.internal:6700	 74:support-vector-maschine-bolt	tuple_count            	9294
2015-03-03 22:47:01,502 53596    1425422821	ip-10-12-134-45.eu-west-1.compute.internal:6700	 68:support-vector-maschine-bolt	tuple_count            	9302
2015-03-03 22:47:01,510 53604    1425422821	ip-10-12-134-45.eu-west-1.compute.internal:6700	 62:support-vector-maschine-bolt	tuple_count            	9301
2015-03-03 22:47:10,078 62172    1425422830	ip-10-86-134-59.eu-west-1.compute.internal:6700	  6:__acker    	__ack-count            	{support-vector-maschine-bolt:__ack_ack=107140, feature-generation-bolt:__ack_ack=105840, tokenizer-bolt:__ack_ack=106520, dataset-spout:__ack_init=104660, pos-tagger-bolt:__ack_ack=103980, preprocessor-bolt:__ack_ack=105280}
