Threads,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10
1,150302,151172,152019,151050,151014,150223,151830,152000,151422,151762
2,35272,34624,33979,33378,33877,34281,34015,34416,34084,33949
3,25397,26297,25240,25777,27616,25348,25280,25787,25634,25474
4,21770,21517,22144,21721,21596,22193,21187,22054,21603,21707
5,19930,19537,20552,20216,19871,19562,19595,20165,19846,19682
6,18223,18730,18025,18483,18098,18543,18485,19266,19081,19175
7,17043,18010,17385,18365,17897,17759,17011,17517,17336,17488
8,17249,16211,16978,17230,16783,16895,17297,16838,16807,17366
9,16532,16790,16739,17366,17186,16772,16586,16029,16386,16817
10,17090,16256,16838,16833,16840,16550,16398,16411,16148,16884
11,15994,16362,16787,15819,15455,16241,15403,16261,16010,16590
12,15617,15225,15835,15749,15525,15849,16226,16349,16073,16122
13,15810,16051,15919,16108,16173,15735,15669,16080,15621,16190
14,16108,16231,15205,16110,15822,16066,15660,15511,16304,15995
15,16188,16292,16284,16382,16110,15599,16483,15910,15733,16406
16,15927,16475,16074,16423,15625,16029,16120,15973,15891,16891
