i;j;C;gamma;accuracy;time_ms
3.0;6.0;32768.0;8.0;0.35714285714285715;3638.0
3.0;8.0;32768.0;8.0;0.3842857142857143;3246.0
6.0;7.0;32768.0;8.0;0.36857142857142855;3615.0
6.0;9.0;32768.0;8.0;0.36;4376.0
2.0;6.0;32768.0;8.0;0.36;4128.0
9.0;6.0;32768.0;8.0;0.3871428571428571;3254.0
1.0;8.0;32768.0;8.0;0.35285714285714287;3733.0
4.0;8.0;32768.0;8.0;0.37;3331.0
10.0;9.0;32768.0;8.0;0.3742857142857143;3803.0
0.0;5.0;32768.0;8.0;0.3585714285714286;3251.0
3.0;9.0;32768.0;8.0;0.3514285714285714;3573.0
3.0;1.0;32768.0;8.0;0.38;3327.0
2.0;8.0;32768.0;8.0;0.36;3818.0
8.0;4.0;32768.0;8.0;0.36857142857142855;3478.0
0.0;8.0;32768.0;8.0;0.35428571428571426;3519.0
9.0;4.0;32768.0;8.0;0.3871428571428571;3689.0
2.0;7.0;32768.0;8.0;0.3557142857142857;3817.0
6.0;6.0;32768.0;8.0;0.38;3299.0
7.0;0.0;32768.0;8.0;0.3585714285714286;3434.0
9.0;0.0;32768.0;8.0;0.3585714285714286;3336.0
4.0;7.0;32768.0;8.0;0.34;3252.0
5.0;7.0;32768.0;8.0;0.37142857142857144;3526.0
6.0;0.0;32768.0;8.0;0.36857142857142855;3857.0
0.0;3.0;32768.0;8.0;0.3742857142857143;3317.0
10.0;3.0;32768.0;8.0;0.35714285714285715;3566.0
0.0;2.0;32768.0;8.0;0.3757142857142857;3663.0
8.0;2.0;32768.0;8.0;0.3742857142857143;3635.0
5.0;3.0;32768.0;8.0;0.38;3704.0
10.0;7.0;32768.0;8.0;0.35714285714285715;3523.0
0.0;0.0;32768.0;8.0;0.3557142857142857;3527.0
1.0;9.0;32768.0;8.0;0.37142857142857144;3706.0
2.0;0.0;32768.0;8.0;0.36142857142857143;3524.0
4.0;2.0;32768.0;8.0;0.35285714285714287;3743.0
4.0;3.0;32768.0;8.0;0.41285714285714287;3553.0
8.0;0.0;32768.0;8.0;0.36857142857142855;3542.0
3.0;3.0;32768.0;8.0;0.37285714285714283;3738.0
6.0;5.0;32768.0;8.0;0.3557142857142857;3539.0
7.0;8.0;32768.0;8.0;0.3914285714285714;3658.0
1.0;2.0;32768.0;8.0;0.36857142857142855;3467.0
5.0;8.0;32768.0;8.0;0.36857142857142855;3255.0
0.0;7.0;32768.0;8.0;0.34714285714285714;3960.0
8.0;9.0;32768.0;8.0;0.3742857142857143;3677.0
3.0;7.0;32768.0;8.0;0.35714285714285715;3483.0
2.0;3.0;32768.0;8.0;0.3842857142857143;3599.0
2.0;4.0;32768.0;8.0;0.37;3749.0
6.0;3.0;32768.0;8.0;0.34714285714285714;3296.0
6.0;8.0;32768.0;8.0;0.36428571428571427;3260.0
7.0;5.0;32768.0;8.0;0.3385714285714286;3459.0
10.0;2.0;32768.0;8.0;0.35714285714285715;3238.0
1.0;4.0;32768.0;8.0;0.33285714285714285;3498.0
5.0;1.0;32768.0;8.0;0.3442857142857143;3786.0
9.0;2.0;32768.0;8.0;0.37285714285714283;3489.0
3.0;0.0;32768.0;8.0;0.39;3358.0
3.0;2.0;32768.0;8.0;0.36;3285.0
1.0;1.0;32768.0;8.0;0.3842857142857143;3094.0
5.0;0.0;32768.0;8.0;0.36428571428571427;2710.0
7.0;2.0;32768.0;8.0;0.37285714285714283;2654.0
0.0;1.0;32768.0;8.0;0.37285714285714283;3222.0
8.0;5.0;32768.0;8.0;0.37142857142857144;3161.0
