i;j;C;gamma;accuracy;time_ms
5.0;5.0;32768.0;8.0;0.38142857142857145;4367.0
10.0;6.0;32768.0;8.0;0.37;4174.0
8.0;3.0;32768.0;8.0;0.37714285714285717;3731.0
9.0;5.0;32768.0;8.0;0.36857142857142855;3870.0
1.0;7.0;32768.0;8.0;0.3628571428571429;4428.0
6.0;2.0;32768.0;8.0;0.38857142857142857;4479.0
10.0;5.0;32768.0;8.0;0.3757142857142857;4047.0
1.0;0.0;32768.0;8.0;0.35428571428571426;4065.0
4.0;4.0;32768.0;8.0;0.3742857142857143;3421.0
9.0;7.0;32768.0;8.0;0.37285714285714283;3339.0
6.0;1.0;32768.0;8.0;0.3657142857142857;3658.0
7.0;7.0;32768.0;8.0;0.36142857142857143;3685.0
5.0;4.0;32768.0;8.0;0.39;3810.0
8.0;1.0;32768.0;8.0;0.37285714285714283;3622.0
9.0;8.0;32768.0;8.0;0.3557142857142857;3505.0
4.0;9.0;32768.0;8.0;0.34;3653.0
4.0;1.0;32768.0;8.0;0.36857142857142855;3568.0
6.0;4.0;32768.0;8.0;0.36714285714285716;3455.0
7.0;3.0;32768.0;8.0;0.36857142857142855;3955.0
8.0;6.0;32768.0;8.0;0.3914285714285714;3811.0
0.0;6.0;32768.0;8.0;0.33714285714285713;3453.0
9.0;1.0;32768.0;8.0;0.3385714285714286;3490.0
2.0;9.0;32768.0;8.0;0.35714285714285715;3374.0
9.0;3.0;32768.0;8.0;0.36857142857142855;3643.0
4.0;5.0;32768.0;8.0;0.3942857142857143;3366.0
9.0;9.0;32768.0;8.0;0.36142857142857143;3910.0
5.0;6.0;32768.0;8.0;0.34285714285714286;3873.0
4.0;6.0;32768.0;8.0;0.35;3491.0
7.0;6.0;32768.0;8.0;0.35714285714285715;3663.0
8.0;7.0;32768.0;8.0;0.34714285714285714;3474.0
0.0;4.0;32768.0;8.0;0.3442857142857143;3364.0
4.0;0.0;32768.0;8.0;0.35;3447.0
1.0;5.0;32768.0;8.0;0.39285714285714285;3624.0
7.0;1.0;32768.0;8.0;0.34;3540.0
10.0;0.0;32768.0;8.0;0.37857142857142856;3737.0
10.0;1.0;32768.0;8.0;0.3657142857142857;3495.0
7.0;4.0;32768.0;8.0;0.3557142857142857;3521.0
3.0;4.0;32768.0;8.0;0.39714285714285713;3552.0
1.0;6.0;32768.0;8.0;0.3414285714285714;3487.0
7.0;9.0;32768.0;8.0;0.36;3084.0
1.0;3.0;32768.0;8.0;0.3357142857142857;3676.0
2.0;1.0;32768.0;8.0;0.3485714285714286;3969.0
8.0;8.0;32768.0;8.0;0.3657142857142857;4024.0
2.0;5.0;32768.0;8.0;0.36142857142857143;3560.0
5.0;9.0;32768.0;8.0;0.37285714285714283;3764.0
3.0;5.0;32768.0;8.0;0.37285714285714283;3448.0
2.0;2.0;32768.0;8.0;0.4;3562.0
5.0;2.0;32768.0;8.0;0.3514285714285714;3432.0
10.0;8.0;32768.0;8.0;0.35;3602.0
0.0;9.0;32768.0;8.0;0.3242857142857143;3848.0
10.0;4.0;32768.0;8.0;0.3485714285714286;3965.0
